Shade (%),Yield (%)
0.0,90.625
1.0,91.36
2.0,92.065
3.0,92.74
4.0,93.385
5.0,94.0
6.0,94.585
7.0,95.14
8.0,95.665
9.0,96.16
10.0,96.625
11.0,97.06
12.0,97.465
13.0,97.84
14.0,98.185
15.0,98.5
16.0,98.785
17.0,99.04
18.0,99.265
19.0,99.46
20.0,99.625
21.0,99.76
22.0,99.865
23.0,99.94
24.0,99.985
25.0,100.0
26.0,99.985
27.0,99.94
28.0,99.865
29.0,99.76
30.0,99.625
31.0,99.46
32.0,99.265
33.0,99.04
34.0,98.785
35.0,98.5
36.0,98.185
37.0,97.84
38.0,97.465
39.0,97.06
40.0,96.625
41.0,96.16
42.0,95.665
43.0,95.14
44.0,94.585
45.0,94.0
46.0,93.385
47.0,92.74
48.0,92.065
49.0,91.36
50.0,90.625
51.0,89.86
52.0,89.065
53.0,88.24
54.0,87.385
55.0,86.5
56.0,85.58500000000001
57.0,84.64
58.0,83.66499999999999
59.0,82.66
60.0,81.625
61.0,80.56
62.0,79.465
63.0,78.34
64.0,77.185
65.0,76.0
66.0,74.785
67.0,73.54
68.0,72.265
69.0,70.96000000000001
70.0,69.625
71.0,68.26
72.0,66.86500000000001
73.0,65.44
74.0,63.985
75.0,62.5
76.0,60.985
77.0,59.440000000000005
78.0,57.865
79.0,56.260000000000005
80.0,54.625
81.0,52.96
82.0,51.265
83.0,49.54
84.0,47.785000000000004
85.0,46.0
86.0,44.185
87.0,42.34
88.0,40.465
89.0,38.56
90.0,36.625
91.0,34.66
92.0,32.665000000000006
93.0,30.64
94.0,28.585000000000008
95.0,26.5
96.0,24.385000000000005
97.0,22.24000000000001
98.0,20.064999999999998
99.0,17.86
100.0,15.625
